,title,contents
0,Week Ahead,"Long-awaited President Biden's $1.9 trillion coronavirus aid bill was passed by the Senate on Saturday and sent back to the House for approval which will take place on Tuesday. Elsewhere, monetary policy meetings in the Eurozone and Canada will be keenly watched, as well as updated GDP figures for Japan, the Eurozone, the UK and South Africa. Other important releases include US, China and India inflation data; US and Australia consumer sentiment; UK and China foreign trade; Eurozone and India industrial output.


"
1,China Trade Surplus Larger than Expected,"China reported a trade surplus of USD 103.25 billion in January-February 2021 combined, rebounding sharply from a USD 7.21 billion deficit in the same period a year earlier, and easily beating market consensus of a USD 60 billion surplus, as the economy recovered from the disruption caused by COVID-19, with more factories resuming their production. Exports surged 60.6 percent year-on-year, the eighth straight month of increase; while imports rose at a softer 22.2 percent, the fifth consecutive month of growth. China's trade surplus with the US for the first two months of the year stood at USD 349.23 billion, much larger than a surplus of USD 25.37 billion in the corresponding period a year earlier. To smooth distortions due to the Lunar New Year festival, Chinese customs combine January and February trade data."
2,China Imports Surge in January-February,"Imports to China jumped 22.2 percent year-on-year to USD 365.62 billion in January-February 2021 combined, after a 6.5 percent rise in December and beating market consensus of a 15 percent increase. This was the fifth straight month of growth in inbound shipments, boosted by improving domestic demand in the wake of the COVID-19 crisis, continued fiscal stimulus, and higher commodity prices. Arrivals grew in terms of volume for iron ore (2.8 percent), steel (17.4 percent), unwrought copper and copper materials (4.7 percent), natural gas (17.4 percent), crude oil (4.1 percent), the primary form of plastics (8 percent), and mechanical and electrical products (25.4 percent). In contrast, imports fell for coal (-39.5 percent), refined oil (-19.4 percent), and soybean (-0.8 percent). Imports soared from the US (56.1 percent), Japan (19.1 percent), the ASEAN countries (21.8 percent), and the EU (23.9 percent)."
3,China Exports Soar in January-February,"Exports from China surged 60.6 percent year-on-year to USD 468.87 billion in January-February 2021 combined, far above market estimates of a 38.9 percent rise and accelerating from an 18.1 percent growth in the December 2020, amid improving global demand. "
4,China Forex Reserves Drop in February,"China's foreign exchange reserves declined to USD 3.205 trillion in February of 2021 from USD 3.211 trillion in the previous month but slightly above market expectations of USD 3.2 trillion. Meanwhile, the value of the gold reserves fell to USD 109.18 billion from USD 116.76 billion in January."
5,Oil Prices Rally on Friday,"WTI crude oil prices surged 3.7% to $66.2 per barrel on Friday and hit the highest levels in over a year, as OPEC and its allies agreed not to increase supply in April as they await a more substantial recovery in demand. Following the decision, Goldman Sachs raised its Brent crude price forecast by $5 to $75 a barrel in the second quarter and $80 a barrel in the third quarter of 2020, with UBS also lifting its own forecasts too. During the session, Brent prices surged more than 4% to $69.5 a barrel. During the week, oil prices gained around 9%."
6,"US Stocks Rebound, Book Mixed Week","Wall Street closed deeply in the green on Friday to rebound from a sell-off in a wild session, as a better-than-expected jobs report nudged sentiment amid an easing rally in bond yields. On the macro side, the Labor Department reported a net gain of 379 thousand nonfarm payrolls in February, well above market expectations of a 210 thousand gain. Meanwhile, the unemployment rate edged down to 6.2%. Meanwhile, the 10-year Treasury yield traded flat at 1.56% after popping above 1.6% to hit a 2021 high following the employment growth. The Dow Jones surged 574 points or 1.9% to 31,498. The S&P 500 added 73 points or 2% to 3842. The Nasdaq jumped 197 points or 1.6% to 12,920. During the week, the Dow Jones climbed 1.8% and the S&P 500 rose 0.8%, whereas the Nasdaq dropped 2.1% as rising yields dented tech shares."
7,TSX Rallies in Wild Session,"Canada’s TSX recovered from early-session losses and gained 255 points or 1.4% to 18,380 on Friday, as better-than-expected job creation in the US lifted global sentiment. On the macro side, Canada posted a surprise trade surplus in January, the first since May 2019 and the largest since July 2014, as exports rose sharply. Meanwhile, WTI crude oil prices surged nearly 4% to $66.2 per barrel on Friday and hit the highest levels in over a year, as OPEC and its allies agreed not to increase supply in April as they await a more substantial recovery in demand. During the week, the TSX jumped 1.8%."
8,US Employers Add 379K Jobs,"The US economy added 379K jobs in February of 2021, following an upwardly revised 166K rise in January and compared to market expectations of 182K amid easing business restrictions, falling coronavirus infection rates, a fast vaccine rollout and continued support from the government. Most of the job gains occurred in leisure and hospitality, with smaller gains in temporary help services, health care and social assistance, retail trade, and  manufacturing. Employment declined in state and local government education, construction, and mining. However, that leaves the economy about 9.5 million jobs short of the peak in February of 2020, as the labour market still has a long way to go before fully recovering from the pandemic shock."
9,European Equities End Friday's Session Lower,"European stocks extended losses to close in the red on Friday, with Frankfurt's DAX 30 falling 1% to 13,921 and other major indices retreating between 0.3% and 0.8%. A stronger than expected employment report from the US raised concerns about a persistent rise in bond yields globally, which could lead to higher inflation and borrowing costs. Meanwhile, investors digested mixed economic data from Europe's largest economies. Orders for German industrial goods rose by 1.4% in January, easily beating market expectations, and French exports and imports moved closer to their pre-pandemic levels. On a more negative note, Italian retail sales fell sharply in January, due to coronavirus-induced restrictions. For the week, the DAX 30 gained 1%."
