,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
0,KODEX 200,069500,시장지수/코스피200,49750,37850,10137897,25.47,0.15,삼성자산운용
1,TIGER 200,102110,시장지수/코스피200,26977,37845,2153041,25.59,0.05,미래에셋자산운용
2,KODEX 200선물인버스2X,252670,파생상품/인버스,20976,2750,187168517,-37.99,0.64,삼성자산운용
3,KODEX 단기채권,153130,채권/단기자금,19260,102620,24802,0.13,0.15,삼성자산운용
4,TIGER MSCI Korea TR,310970,시장지수/MSCI Korea Index,16536,15435,1531360,26.93,0.12,미래에셋자산운용
5,KODEX MSCI Korea TR,278540,시장지수/MSCI Korea Index,15346,12285,1452896,27.31,0.15,삼성자산운용
6,KODEX 레버리지,122630,파생상품/레버리지,14800,21545,59280089,54.83,0.64,삼성자산운용
7,KODEX 종합채권(AA-이상)액티브,273130,채권/회사채권,14659,110085,18540,-0.74,0.07,삼성자산운용
8,KODEX 200TR,278530,시장지수/코스피200,14392,12160,948866,25.55,0.05,삼성자산운용
9,KODEX 삼성그룹,102780,그룹주/삼성,13829,9380,427540,28.05,0.25,삼성자산운용
10,KODEX 코스닥150 레버리지,233740,파생상품/레버리지,11963,15850,34867522,38.49,0.64,삼성자산운용
11,KBSTAR 200,148020,시장지수/코스피200,11458,37910,444226,25.58,0.05,케이비자산운용
12,KODEX 인버스,114800,파생상품/인버스,10015,4450,37366643,-21.03,0.64,삼성자산운용
13,TIGER 단기통안채,157450,채권/단기자금,9775,100795,9735,0.12,0.09,미래에셋자산운용
14,KODEX 단기채권PLUS,214980,채권/단기자금,8801,102850,1012938,0.15,0.15,삼성자산운용
15,ARIRANG 200,152100,시장지수/코스피200,7541,38060,270995,25.52,0.04,한화자산운용
16,KINDEX 200,105190,시장지수/코스피200,7181,37980,451059,25.49,0.09,한국투자신탁운용
17,KOSEF 200,069660,시장지수/코스피200,6058,37840,103245,25.38,0.13,키움투자자산운용
18,HANARO 200,293180,시장지수/코스피200,6000,37885,115169,25.56,0.04,엔에이치아문디자산운용
19,TIGER 미국나스닥100,133690,해외지수/해외지수,5820,62690,141250,10.75,0.07,미래에셋자산운용
20,KODEX 코스닥150선물인버스,251340,파생상품/인버스,5321,4545,65020603,-18.55,0.64,삼성자산운용
