,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
0,KODEX 200,069500,시장지수/코스피200,49461,36665,6301441,-7.84,0.15,삼성자산운용
1,TIGER 차이나전기차SOLACTIVE,371460,해외지수/해외지수,31902,14775,4914385,-21.18,0.49,미래에셋자산운용
3,TIGER 미국나스닥100,133690,해외지수/해외지수,20346,75940,271972,-9.45,0.07,미래에셋자산운용
4,TIGER 200,102110,시장지수/코스피200,19340,36680,1654712,-7.83,0.05,미래에셋자산운용
6,TIGER 단기통안채,157450,채권/단기자금,17387,100710,1065114,0.23,0.09,미래에셋자산운용
7,KODEX MSCI Korea TR,278540,시장지수/MSCI Korea Index,15816,11720,2077973,-8.51,0.15,삼성자산운용
8,KODEX 단기채권,153130,채권/단기자금,15699,103350,41328,0.26,0.15,삼성자산운용
9,KODEX 삼성그룹,102780,그룹주/삼성,14784,8885,1020524,-10.79,0.25,삼성자산운용
10,TIGER 미국S&P500,360750,해외지수/해외지수,14377,13375,1506181,-3.31,0.07,미래에셋자산운용
11,KODEX 종합채권(AA-이상)액티브,273130,채권/회사채권,13867,106210,20018,-2.16,0.07,삼성자산운용
12,TIGER 미국테크TOP10 INDXX,381170,해외지수/해외지수,13079,11405,1366096,-10.02,0.49,미래에셋자산운용
13,TIGER MSCI Korea TR,310970,시장지수/MSCI Korea Index,12972,14690,481903,-8.96,0.12,미래에셋자산운용
14,TIGER 미국필라델피아반도체나스닥,381180,해외지수/해외지수,11940,10905,1603414,-9.45,0.49,미래에셋자산운용
15,KODEX 2차전지산업,305720,테마/기타,11891,17625,1786826,-21.02,0.45,삼성자산운용
16,TIGER 2차전지테마,305540,테마/기타,11462,18285,1204011,-19.38,0.5,미래에셋자산운용
17,TIGER TOP10,292150,테마/우량주,10826,12220,246420,-9.92,0.15,미래에셋자산운용
19,KODEX 단기채권PLUS,214980,채권/단기자금,10247,103765,247674,0.37,0.15,삼성자산운용
20,KBSTAR 200,148020,시장지수/코스피200,9953,36875,217865,-7.66,0.02,케이비자산운용
21,KODEX 200TR,278530,시장지수/코스피200,9191,12050,802152,-7.84,0.05,삼성자산운용
22,TIGER 200 IT,139260,섹터/IT,8632,33235,216835,-8.62,0.4,미래에셋자산운용
24,KBSTAR 단기통안채,196230,채권/단기자금,7179,105060,356558,0.3,0.13,케이비자산운용
25,HANARO 200,293180,시장지수/코스피200,7133,36690,86443,-7.91,0.04,엔에이치아문디자산운용
26,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),394670,해외지수/해외지수,6799,10010,415209,-12.5,0.49,미래에셋자산운용
27,KINDEX 200,105190,시장지수/코스피200,6586,36975,209694,-7.83,0.09,한국투자신탁운용
28,KODEX 자동차,091180,섹터/경기소비재,6560,17785,339122,-14.82,0.45,삼성자산운용
29,ARIRANG 200,152100,시장지수/코스피200,6394,37440,172576,-7.68,0.04,한화자산운용
30,KODEX 코스닥150,229200,시장지수/코스닥,6378,13100,5377334,-10.3,0.25,삼성자산운용
31,KODEX Top5PlusTR,315930,스타일/스타일,5791,18110,31651,-4.96,0.15,삼성자산운용
32,KINDEX 미국S&P500,360200,해외지수/해외지수,5351,13465,314851,-3.36,0.07,한국투자신탁운용
33,KINDEX 단기통안채,190620,채권/단기자금,4567,100350,13724,0.28,0.07,한국투자신탁운용
34,KODEX K-메타버스액티브,401470,섹터/IT,4531,11045,2279318,-10.96,0.5,삼성자산운용
35,KOSEF 200,069660,시장지수/코스피200,4518,36680,36260,-8.02,0.13,키움투자자산운용
36,TIGER Fn메타버스,400970,섹터/IT,4504,11365,2176197,-6.46,0.45,미래에셋자산운용
37,KOSEF 200TR,294400,시장지수/코스피200,4472,43785,14280,-7.97,0.01,키움투자자산운용
38,KODEX 미국FANG플러스(H),314250,해외지수/해외지수,4438,24310,112018,-15.34,0.45,삼성자산운용
39,TIGER KRX2차전지K-뉴딜,364980,테마/기타,4020,12825,993152,-24.09,0.4,미래에셋자산운용
40,KBSTAR KIS종합채권(A-이상)액티브,385540,채권/회사채권,3966,98045,982,-2.07,0.05,케이비자산운용
41,KINDEX 미국나스닥100,367380,해외지수/해외지수,3788,13055,193013,-9.27,0.07,한국투자신탁운용
42,KODEX 선진국MSCI World,251350,해외지수/해외지수,3733,20600,75029,-2.44,0.3,삼성자산운용
43,KODEX 코스피,226490,시장지수/코스피200,3719,27755,175922,-8.57,0.15,삼성자산운용
44,KODEX 미국S&P500TR,379800,해외지수/해외지수,3713,11745,397748,-3.33,0.05,삼성자산운용
46,TIGER 차이나항셍테크,371160,해외지수/해외지수,3348,6015,1154689,-19.26,0.09,미래에셋자산운용
