Symbol,Name,Industry,IndustryCode
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010
TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,571010
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010
JPM,JPMorgan Chase & Co,은행,551010
JNJ,Johnson & Johnson,제약,562010
WMT,Walmart Inc,식품 및 약품소매,543010
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010
BRK.B,Berkshire Hathaway Inc Class B,복합 기업,544010
DIS,Walt Disney Co,미디어 및 출판,533020
BAC,Bank of America Corp,은행,551010
HD,Home Depot Inc,전문품 상점,534030
VZ,Verizon Communications Inc,통신 서비스,574010
BRK.A,Berkshire Hathaway Inc Class A,복합 기업,544010
NKE,Nike Inc Class B,섬유 및 의류,532020
NVS,Novartis AG ADR,제약,562010
XOM,Exxon Mobil Corp,오일 및 가스,501020
TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,531010
KO,Coca-Cola Co,음료,541010
T,AT&T Inc,통신 서비스,574010
MRK,Merck & Co Inc,제약,562010
PFE,Pfizer Inc,제약,562010
CRM,Salesforce.Com Inc,소프트웨어 및 IT서비스,572010
ABBV,Abbvie Inc,제약,562010
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010
CVX,Chevron Corp,오일 및 가스,501020
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010
LLY,Eli Lilly and Co,제약,562010
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010
DHR,Danaher Corp,헬스케어 장비 및 용품,561010
NEE,Nextera Energy Inc,전기 유틸리티,591010
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010
MCD,Mcdonald's Corp,호텔 및 엔터테인먼트,533010
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010
BMY,Bristol-Myers Squibb Co,제약,562010
HON,Honeywell International Inc,복합 기업,544010
UNP,Union Pacific Corp,화물 및 물류 서비스,524050
SHOP,Shopify Inc Class A,소프트웨어 및 IT서비스,572010
C,Citigroup Inc,은행,551010
WFC,Wells Fargo & Co,은행,551010
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050
HDB,HDFC Bank Ltd ADR,은행,551010
MS,Morgan Stanley,투자은행 및 서비스,551020
LIN,Linde PLC,화학,511010
SNE,Sony Corp ADR,"컴퓨터, 전화 및 가전제품",571060
PM,Philip Morris International Inc,식품 및 담배,541020
NVO,Novo Nordisk A/S ADR,제약,562010
LOW,Lowe's Companies Inc,전문품 상점,534030
RY,Royal Bank of Canada,은행,551010
TOT,Total SE ADR,오일 및 가스,501020
BA,Boeing Co,우주항공 및 국방,521010
SE,Sea Ltd ADR,소프트웨어 및 IT서비스,572010
IBM,International Business Machines Corp,소프트웨어 및 IT서비스,572010
BUD,Anheuser Busch Inbev NV ADR,음료,541010
BLK,BlackRock Inc,투자은행 및 서비스,551020
HSBC,HSBC Holdings PLC ADR,은행,551010
CHL,China Mobile Ltd ADR,통신 서비스,574010
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020
BHP,BHP Group Ltd ADR,메탈&마이닝,512010
TD,Toronto-Dominion Bank,은행,551010
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010
CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020
RIO,Rio Tinto PLC ADR,메탈&마이닝,512010
SQ,Square Inc Class A,전문 및 상업 서비스,522030
GE,General Electric Co,복합 기업,544010
UBER,Uber Technologies Inc,소프트웨어 및 IT서비스,572010
NOW,ServiceNow Inc,소프트웨어 및 IT서비스,572010
AXP,American Express Co,은행,551010
TGT,Target Corp,다양한 소매업,534020
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020
LMT,Lockheed Martin Corp,우주항공 및 국방,521010
VALE,Vale SA ADR,메탈&마이닝,512010
MMM,3M Co,복합 기업,544010
GSK,GlaxoSmithKline PLC ADR,제약,562010
NIO,NIO Inc ADR,자동차 및 자동차 부품,531010
AMT,American Tower Corp,주택 및 상업용 리츠,601020
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020
DEO,Diageo PLC ADR,음료,541010
SYK,Stryker Corp,헬스케어 장비 및 용품,561010
EL,Estee Lauder Companies Inc Class A,"개인, 가정 용품 및 서비스",542010
UN,Unilever NV ADR,"개인, 가정 용품 및 서비스",542010
BTI,British American Tobacco PLC ADR,식품 및 담배,541020
BP,BP PLC ADR,오일 및 가스,501020
SNOW,Snowflake Inc. Class A,소프트웨어 및 IT서비스,572010
RDS.A,Royal Dutch Shell PLC ADR,오일 및 가스,501020
TJX,TJX Companies Inc,다양한 소매업,534020
ANTM,Anthem Inc,헬스케어 업체 및 서비스,561020
FIS,Fidelity National Information Services Inc,핀테크,573010
CNI,Canadian National Railway Co,화물 및 물류 서비스,524050
CI,Cigna Corp,헬스케어 업체 및 서비스,561020
INFY,Infosys Ltd ADR,소프트웨어 및 IT서비스,572010
ZTS,Zoetis Inc Class A,제약,562010
MO,Altria Group Inc,식품 및 담배,541020
BX,Blackstone Group Inc Class A,투자은행 및 서비스,551020
BDX,Becton Dickinson and Co,헬스케어 장비 및 용품,561010
USB,U.S. Bancorp,은행,551010
GM,General Motors Co,자동차 및 자동차 부품,531010
BEKE,Ke Holdings Inc ADR,부동산 운영 관리,601010
RDS.B,Royal Dutch Shell PLC ADR,오일 및 가스,501020
SPGI,S&P Global Inc,전문 및 상업 서비스,522030
SNAP,Snap Inc Class A,소프트웨어 및 IT서비스,572010
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030
TFC,Truist Financial Corp,은행,551010
PLD,Prologis Inc,주택 및 상업용 리츠,601020
CB,Chubb Ltd,보험,553010
CL,Colgate-Palmolive Co,"개인, 가정 용품 및 서비스",542010
PNC,PNC Financial Services Group Inc,은행,551010
FDX,FedEx Corp,화물 및 물류 서비스,524050
DUK,Duke Energy Corp,전기 유틸리티,591010
BNS,Bank of Nova Scotia,은행,551010
CCI,Crown Castle International Corp,주택 및 상업용 리츠,601020
DASH,DoorDash Inc Class A,소프트웨어 및 IT서비스,572010
EQNR,Equinor ASA ADR,오일 및 가스,501020
SHW,Sherwin-Williams Co,화학,511010
ITW,Illinois Tool Works Inc,복합 기업,544010
ICE,Intercontinental Exchange Inc,투자은행 및 서비스,551020
ABB,Abb Ltd ADR,"건설장비 및 대형차, 기차, 배",521020
NSC,Norfolk Southern Corp,화물 및 물류 서비스,524050
SPOT,Spotify Technology SA,소프트웨어 및 IT서비스,572010
BBL,BHP Group PLC ADR,메탈&마이닝,512010
APD,Air Products and Chemicals Inc,화학,511010
MUFG,Mitsubishi UFJ Financial Group Inc ADR,은행,551010
SO,Southern Co,전기 유틸리티,591010
TWLO,Twilio Inc Class A,소프트웨어 및 IT서비스,572010
ECL,Ecolab Inc,화학,511010
DD,Dupont De Nemours Inc,화학,511010
SAN,Banco Santander SA ADR,은행,551010
WBK,Westpac Banking Corp ADR,은행,551010
UBS,UBS Group AG,투자은행 및 서비스,551020
BAM,Brookfield Asset Management Inc Class A,투자은행 및 서비스,551020
GPN,Global Payments Inc,전문 및 상업 서비스,522030
D,Dominion Energy Inc,전기 유틸리티,591010
