,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
0,KODEX 200,069500,시장지수/코스피200,61963,43545,10570291,37.11,0.15,삼성자산운용
1,TIGER 200,102110,시장지수/코스피200,32219,43505,2236275,37.07,0.05,미래에셋자산운용
2,KODEX 단기채권,153130,채권/단기자금,20016,102650,29198,0.14,0.15,삼성자산운용
3,TIGER MSCI Korea TR,310970,시장지수/MSCI Korea Index,19005,17725,1505901,38.86,0.12,미래에셋자산운용
4,KODEX MSCI Korea TR,278540,시장지수/MSCI Korea Index,18841,14130,1592904,39.01,0.15,삼성자산운용
6,KODEX 삼성그룹,102780,그룹주/삼성,17042,10865,551920,41.1,0.25,삼성자산운용
8,KODEX 200TR,278530,시장지수/코스피200,16806,14015,1046063,37.4,0.05,삼성자산운용
9,KODEX 종합채권(AA-이상)액티브,273130,채권/회사채권,15018,109970,14882,-0.5,0.07,삼성자산운용
10,KBSTAR 200,148020,시장지수/코스피200,12908,43640,472198,37.26,0.05,케이비자산운용
12,ARIRANG 200,152100,시장지수/코스피200,8885,43845,312775,37.3,0.04,한화자산운용
13,KODEX 단기채권PLUS,214980,채권/단기자금,8837,102900,1045719,0.17,0.15,삼성자산운용
15,TIGER 단기통안채,157450,채권/단기자금,8707,100035,11215,0.13,0.09,미래에셋자산운용
16,KINDEX 200,105190,시장지수/코스피200,8120,43765,451372,37.32,0.09,한국투자신탁운용
17,KOSEF 200,069660,시장지수/코스피200,7068,43625,148459,37.24,0.13,키움투자자산운용
18,HANARO 200,293180,시장지수/코스피200,6747,43560,144285,37.05,0.04,엔에이치아문디자산운용
19,TIGER 미국나스닥100,133690,해외지수/해외지수,6130,63420,152482,6.32,0.07,미래에셋자산운용
20,TIGER TOP10,292150,테마/우량주,5634,15550,809718,43.65,0.15,미래에셋자산운용
21,KODEX 2차전지산업,305720,테마/기타,5244,19035,2350016,54.25,0.45,삼성자산운용
22,KODEX 코스닥 150,229200,시장지수/코스닥,4922,15470,10241003,15.79,0.25,삼성자산운용
23,KODEX 코스피,226490,시장지수/코스피200,4809,31955,189743,33.67,0.15,삼성자산운용
24,TIGER 200 IT,139260,섹터/IT,4808,40575,594074,51.71,0.4,미래에셋자산운용
26,HANARO MSCI Korea TR,332940,시장지수/MSCI Korea Index,4522,17735,7056,38.88,0.12,엔에이치아문디자산운용
27,KOSEF 200TR,294400,시장지수/코스피200,4462,50870,13393,37.32,0.01,키움투자자산운용
28,TIGER CD금리투자KIS(합성),357870,채권/단기자금,4396,50175,4941,0.15,0.15,미래에셋자산운용
29,TIGER 2차전지테마,305540,테마/기타,4387,17100,1417286,45.04,0.5,미래에셋자산운용
30,KODEX WTI원유선물(H),261220,상품/원유,4241,7690,2608820,23.73,0.35,삼성자산운용
31,TIGER KRX2차전지K-뉴딜,364980,테마/기타,4232,17355,976809,60.47,0.4,미래에셋자산운용
32,KODEX Top5PlusTR,315930,스타일/스타일,4068,19840,32463,40.56,0.15,삼성자산운용
33,KODEX 선진국MSCI World,251350,해외지수/해외지수,4021,16735,87479,8.49,0.3,삼성자산운용
34,SMART 200TR,295040,시장지수/코스피200,3981,14565,150636,37.21,0.05,신한비엔피파리바자산운용
35,TIGER KRX BBIG K-뉴딜,364960,테마/기타,3469,13150,1143559,25.66,0.4,미래에셋자산운용
36,TIGER 차이나CSI300,192090,해외지수/해외지수,3459,12120,675894,14.33,0.63,미래에셋자산운용
